,0,1,2,3
181,4.0,6385.770574569702,559.0,2912.0
182,3.0,6423.937936782837,562.0,2928.0
183,1.0,6464.226980209351,563.0,2944.0
184,2.0,6499.70599937439,565.0,2960.0
185,3.0,6536.0010623931885,568.0,2976.0
186,5.0,6569.1382694244385,573.0,2992.0
187,4.0,6601.258466720581,577.0,3008.0
188,4.0,6634.140604019165,581.0,3024.0
189,1.0,6669.77491569519,582.0,3040.0
190,3.0,6704.92173576355,585.0,3056.0
191,7.0,6736.480558395386,592.0,3072.0
192,5.0,6771.869295120239,597.0,3088.0
193,2.0,6810.797067642212,599.0,3104.0
194,1.0,6844.981203079224,600.0,3120.0
195,5.0,6878.106859207153,605.0,3136.0
196,1.0,6914.475927352905,606.0,3152.0
197,0.0,6948.855058670044,606.0,3168.0
198,3.0,6982.135633468628,609.0,3184.0
199,4.0,7014.339902877808,613.0,3200.0
200,0.0,7050.828977584839,613.0,3216.0
201,2.0,7083.834062576294,615.0,3232.0
202,6.0,7112.010522842407,621.0,3248.0
203,4.0,7145.218240737915,625.0,3264.0
204,1.0,7182.004457473755,626.0,3280.0
205,2.0,7216.16961479187,628.0,3296.0
206,5.0,7256.436697006226,633.0,3312.0
207,6.0,7288.654111862183,639.0,3328.0
208,4.0,7321.723459243774,643.0,3344.0
209,4.0,7352.319183349609,647.0,3360.0
210,6.0,7381.949842453003,653.0,3376.0
211,6.0,7415.025449752808,659.0,3392.0
212,7.0,7442.60901260376,666.0,3408.0
213,3.0,7476.394649505615,669.0,3424.0
214,3.0,7509.665977478027,672.0,3440.0
215,5.0,7541.085615158081,677.0,3456.0
216,8.0,7567.722110748291,685.0,3472.0
217,5.0,7598.280502319336,690.0,3488.0
218,3.0,7635.370044708252,693.0,3504.0
219,4.0,7666.825630187988,697.0,3520.0
220,5.0,7692.397607803345,702.0,3536.0
221,5.0,7721.619201660156,707.0,3552.0
222,2.0,7757.327953338623,709.0,3568.0
223,1.0,7798.179885864258,710.0,3584.0
224,4.0,7830.485984802246,714.0,3600.0
225,3.0,7866.670997619629,717.0,3616.0
226,1.0,7900.412689208984,718.0,3632.0
227,5.0,7932.1549949646,723.0,3648.0
228,5.0,7964.231819152832,728.0,3664.0
229,4.0,7997.172119140625,732.0,3680.0
230,5.0,8030.348724365234,737.0,3696.0
231,4.0,8065.407466888428,741.0,3712.0
232,3.0,8095.987316131592,744.0,3728.0
233,5.0,8126.620838165283,749.0,3744.0
234,6.0,8155.374322891235,755.0,3760.0
235,2.0,8192.971662521362,757.0,3776.0
236,4.0,8226.881296157837,761.0,3792.0
237,4.0,8259.612909317017,765.0,3808.0
238,2.0,8294.154962539673,767.0,3824.0
239,3.0,8327.64259147644,770.0,3840.0
240,3.0,8361.060094833374,773.0,3856.0
241,6.0,8389.251256942749,779.0,3872.0
242,7.0,8421.31573677063,786.0,3888.0
243,2.0,8458.053644180298,788.0,3904.0
244,3.0,8492.429681777954,791.0,3920.0
245,4.0,8522.953132629395,795.0,3936.0
246,3.0,8556.000595092773,798.0,3952.0
247,3.0,8585.235555648804,801.0,3968.0
248,2.0,8617.437273025513,803.0,3984.0
249,4.0,8647.533094406128,807.0,4000.0
250,2.0,8681.838640213013,809.0,4016.0
251,0.0,8717.884016036987,809.0,4032.0
252,5.0,8748.462650299072,814.0,4048.0
253,3.0,8781.549068450928,817.0,4064.0
254,1.0,8818.749641418457,818.0,4080.0
255,4.0,8847.675294876099,822.0,4096.0
256,5.0,8880.521364212036,827.0,4112.0
257,2.0,8915.833024978638,829.0,4128.0
258,0.0,8957.247751235962,829.0,4144.0
259,5.0,8989.52115058899,834.0,4160.0
260,6.0,9023.96135520935,840.0,4176.0
261,2.0,9060.776582717896,842.0,4192.0
262,4.0,9093.322492599487,846.0,4208.0
263,2.0,9129.695249557495,848.0,4224.0
264,3.0,9165.893663406372,851.0,4240.0
265,5.0,9197.730428695679,856.0,4256.0
266,4.0,9230.442510604858,860.0,4272.0
267,4.0,9263.478971481323,864.0,4288.0
268,2.0,9301.185548782349,866.0,4304.0
269,3.0,9334.412817001343,869.0,4320.0
270,4.0,9370.561586380005,873.0,4336.0
271,1.0,9405.32594871521,874.0,4352.0
272,3.0,9439.139375686646,877.0,4368.0
273,4.0,9471.20530128479,881.0,4384.0
274,3.0,9502.537139892578,884.0,4400.0
275,5.0,9535.419116973877,889.0,4416.0
